startname,endname,length,line
古城,八角游乐园,1921,1号线八通线
八角游乐园,八宝山,1953,1号线八通线
八宝山,玉泉路,1479,1号线八通线
玉泉路,五棵松,1810,1号线八通线
五棵松,万寿路,1778,1号线八通线
万寿路,公主坟,1313,1号线八通线
公主坟,军事博物馆,1172,1号线八通线
军事博物馆,木樨地,1166,1号线八通线
木樨地,南礼士路,1291,1号线八通线
南礼士路,复兴门,424,1号线八通线
复兴门,西单,1596,1号线八通线
西单,天安门西,1217,1号线八通线
天安门西,天安门东,925,1号线八通线
天安门东,王府井,852,1号线八通线
王府井,东单,774,1号线八通线
东单,建国门,1230,1号线八通线
建国门,永安里,1377,1号线八通线
永安里,国贸,790,1号线八通线
国贸,大望路,1385,1号线八通线
大望路,四惠,1673,1号线八通线
四惠,四惠东,1714,1号线八通线
四惠东,高碑店,1375,1号线八通线
高碑店,传媒大学,2002,1号线八通线
传媒大学,双桥,1894,1号线八通线
双桥,管庄,1912,1号线八通线
管庄,八里桥,1763,1号线八通线
八里桥,通州北苑,1700,1号线八通线
通州北苑,果园,1465,1号线八通线
果园,九棵树,990,1号线八通线
九棵树,梨园,1225,1号线八通线
梨园,临河里,1257,1号线八通线
临河里,土桥,776,1号线八通线
土桥,花庄,2238,1号线八通线
花庄,环球度假区,1863,1号线八通线
八角游乐园,古城,1921,1号线八通线
八宝山,八角游乐园,1953,1号线八通线
玉泉路,八宝山,1479,1号线八通线
五棵松,玉泉路,1810,1号线八通线
万寿路,五棵松,1778,1号线八通线
公主坟,万寿路,1313,1号线八通线
军事博物馆,公主坟,1172,1号线八通线
木樨地,军事博物馆,1166,1号线八通线
南礼士路,木樨地,1291,1号线八通线
复兴门,南礼士路,424,1号线八通线
西单,复兴门,1596,1号线八通线
天安门西,西单,1217,1号线八通线
天安门东,天安门西,925,1号线八通线
王府井,天安门东,852,1号线八通线
东单,王府井,774,1号线八通线
建国门,东单,1230,1号线八通线
永安里,建国门,1377,1号线八通线
国贸,永安里,790,1号线八通线
大望路,国贸,1385,1号线八通线
四惠,大望路,1673,1号线八通线
四惠东,四惠,1714,1号线八通线
高碑店,四惠东,1375,1号线八通线
传媒大学,高碑店,2002,1号线八通线
双桥,传媒大学,1894,1号线八通线
管庄,双桥,1912,1号线八通线
八里桥,管庄,1763,1号线八通线
通州北苑,八里桥,1700,1号线八通线
果园,通州北苑,1465,1号线八通线
九棵树,果园,990,1号线八通线
梨园,九棵树,1225,1号线八通线
临河里,梨园,1257,1号线八通线
土桥,临河里,776,1号线八通线
花庄,土桥,2238,1号线八通线
环球度假区,花庄,1863,1号线八通线
