startname,endname,length,line
北安河,温阳路,2653,16号线
温阳路,北安河,2653,16号线
温阳路,稻香湖路,2310,16号线
稻香湖路,温阳路,2310,16号线
稻香湖路,屯佃,2352,16号线
屯佃,稻香湖路,2352,16号线
屯佃,永丰,1961,16号线
永丰,屯佃,1961,16号线
永丰,永丰南,1315,16号线
永丰南,永丰,1315,16号线
永丰南,西北旺,2108,16号线
西北旺,永丰南,2108,16号线
西北旺,马连洼,2196,16号线
马连洼,西北旺,2196,16号线
马连洼,农大南路,1517,16号线
农大南路,马连洼,1517,16号线
农大南路,西苑,2690,16号线
西苑,农大南路,2690,16号线
西苑,万泉河桥,1980,16号线
万泉河桥,西苑,1980,16号线
万泉河桥,苏州街,1486,16号线
苏州街,万泉河桥,1486,16号线
苏州街,苏州桥,1497,16号线
苏州桥,苏州街,1497,16号线
苏州桥,万寿寺,1610,16号线
万寿寺,苏州桥,1610,16号线
万寿寺,国家图书馆,1721,16号线
国家图书馆,万寿寺,1721,16号线
国家图书馆,二里沟,1589,16号线
二里沟,国家图书馆,1589,16号线
二里沟,甘家口,1046,16号线
甘家口,二里沟,1046,16号线
甘家口,玉渊潭东门,970,16号线
玉渊潭东门,甘家口,970,16号线
玉渊潭东门,木樨地,565,16号线
木樨地,玉渊潭东门,565,16号线
木樨地,达官营,2004,16号线
达官营,木樨地,2004,16号线
达官营,红莲南路,1552,16号线
红莲南路,达官营,1552,16号线
红莲南路,丽泽商务区,1241,16号线
丽泽商务区,红莲南路,1241,16号线
丽泽商务区,东管头南,1803,16号线
东管头南,丽泽商务区,1803,16号线
东管头南,丰台站,1794,16号线
丰台站,东管头南,1794,16号线
丰台站,丰台南路,1420,16号线
丰台南路,丰台站,1420,16号线
丰台南路,富丰桥,1187,16号线
富丰桥,丰台南路,1187,16号线
富丰桥,看丹,1226,16号线
看丹,富丰桥,1226,16号线
看丹,榆树庄,1442,16号线
榆树庄,看丹,1442,16号线
