startname,endname,length,line
首经贸,东管头南,1137,房山线
花乡东桥,首经贸,1793,房山线
白盆窑,花乡东桥,1668,房山线
郭公庄,白盆窑,1138,房山线
大葆台,郭公庄,1405,房山线
稻田,大葆台,6466,房山线
长阳,稻田,4042,房山线
篱笆房,长阳,2150,房山线
广阳城,篱笆房,1474,房山线
良乡大学城北,广阳城,2003,房山线
良乡大学城,良乡大学城北,1188,房山线
良乡大学城西,良乡大学城,1739,房山线
良乡南关,良乡大学城西,1333,房山线
苏庄,良乡南关,1331,房山线
阎村东,苏庄,2200,房山线
东管头南,首经贸,1137,房山线
首经贸,花乡东桥,1793,房山线
花乡东桥,白盆窑,1668,房山线
白盆窑,郭公庄,1138,房山线
郭公庄,大葆台,1405,房山线
大葆台,稻田,6466,房山线
稻田,长阳,4042,房山线
长阳,篱笆房,2150,房山线
篱笆房,广阳城,1474,房山线
广阳城,良乡大学城北,2003,房山线
良乡大学城北,良乡大学城,1188,房山线
良乡大学城,良乡大学城西,1739,房山线
良乡大学城西,良乡南关,1333,房山线
良乡南关,苏庄,1331,房山线
苏庄,阎村东,2200,房山线
