startname,endname,length,line
定海园,定海园西,1055,亦庄T1线
定海园西,定海园,880,亦庄T1线
定海园西,经海一路,1083,亦庄T1线
经海一路,定海园西,1257,亦庄T1线
经海一路,亦创会展中心,1368,亦庄T1线
亦创会展中心,经海一路,1368,亦庄T1线
亦创会展中心,荣昌东街,608,亦庄T1线
荣昌东街,亦创会展中心,608,亦庄T1线
荣昌东街,亦庄同仁,604,亦庄T1线
亦庄同仁,荣昌东街,604,亦庄T1线
亦庄同仁,鹿圈东,1228,亦庄T1线
鹿圈东,亦庄同仁,1228,亦庄T1线
鹿圈东,泰河路,739,亦庄T1线
泰河路,鹿圈东,739,亦庄T1线
泰河路,九号村,606,亦庄T1线
九号村,泰河路,606,亦庄T1线
九号村,四海庄,993,亦庄T1线
四海庄,九号村,993,亦庄T1线
四海庄,太和桥北,638,亦庄T1线
太和桥北,四海庄,638,亦庄T1线
太和桥北,瑞合庄,1208,亦庄T1线
瑞合庄,太和桥北,1375,亦庄T1线
瑞合庄,融兴街,798,亦庄T1线
融兴街,瑞合庄,802,亦庄T1线
融兴街,屈庄,787,亦庄T1线
屈庄,融兴街,801,亦庄T1线
